dataset,dataset_slug,doc_id,raw_text,clean_text,tokens,token_text,char_len,token_len,is_empty_raw,is_empty_tokenized,positive_hits,negative_hits,sentiment_score,sentiment_label
Before Election,before_election,0,লিডার চালিয়ে যান পুরো পৃথিবী আপনার বিপক্ষে থাকলেও আমি পৃথিবীর পক্ষেই আছি,লিডার চালিয়ে যান পুরো পৃথিবী আপনার বিপক্ষে থাকলেও আমি পৃথিবীর পক্ষেই আছি,"['লিডার', 'চালিয়ে', 'যান', 'পুরো', 'পৃথিবী', 'বিপক্ষে', 'থাকলেও', 'পৃথিবীর', 'পক্ষেই', 'আছি']",লিডার চালিয়ে যান পুরো পৃথিবী বিপক্ষে থাকলেও পৃথিবীর পক্ষেই আছি,72,10,0,0,0,0,0.0,neutral
Before Election,before_election,1,ভোট দিবো ধানের শীর্ষে চাঁদা তুলবো মিলেমিশে,ভোট দিবো ধানের শীর্ষে চাঁদা তুলবো মিলেমিশে,"['ভোট', 'দিবো', 'ধানের', 'শীর্ষে', 'চাঁদা', 'তুলবো', 'মিলেমিশে']",ভোট দিবো ধানের শীর্ষে চাঁদা তুলবো মিলেমিশে,42,7,0,0,0,0,0.0,neutral
Before Election,before_election,2,"ছেলেটা দারুণ সাহসী। এতো জুতা খাওয়ার পরও নতুন নতুন বানী নিয়ে চলে আসে,, বাহ -- লেগে থাক ভাই..",ছেলেটা দারুণ সাহসী এতো জুতা খাওয়ার পরও নতুন নতুন বানী নিয়ে চলে আসে বাহ লেগে থাক ভাই,"['ছেলেটা', 'দারুণ', 'সাহসী', 'এতো', 'জুতা', 'খাওয়ার', 'পরও', 'নতুন', 'নতুন', 'বানী', 'নিয়ে', 'চলে', 'আসে', 'বাহ', 'লেগে', 'থাক', 'ভাই']",ছেলেটা দারুণ সাহসী এতো জুতা খাওয়ার পরও নতুন নতুন বানী নিয়ে চলে আসে বাহ লেগে থাক ভাই,91,17,0,0,1,0,0.058823529411764705,positive
Before Election,before_election,3,জনগণের ইচ্ছে যাকে খুশি তাকে ভোট দিবে দেশ টাকার বাবার না স্বৈরাচারের মতো ব্যবহার করে পরিপাশে আগস্টের মত শেখ হাসিনার মত হবে ইনশাআল্লাহ,জনগণের ইচ্ছে যাকে খুশি তাকে ভোট দিবে দেশ টাকার বাবার না স্বৈরাচারের মতো ব্যবহার করে পরিপাশে আগস্টের মত শেখ হাসিনার মত হবে ইনশাআল্লাহ,"['জনগণের', 'ইচ্ছে', 'যাকে', 'খুশি', 'তাকে', 'ভোট', 'দিবে', 'দেশ', 'টাকার', 'বাবার', 'স্বৈরাচারের', 'মতো', 'ব্যবহার', 'পরিপাশে', 'আগস্টের', 'মত', 'শেখ', 'হাসিনার', 'মত', 'ইনশাআল্লাহ']",জনগণের ইচ্ছে যাকে খুশি তাকে ভোট দিবে দেশ টাকার বাবার স্বৈরাচারের মতো ব্যবহার পরিপাশে আগস্টের মত শেখ হাসিনার মত ইনশাআল্লাহ,132,20,0,0,1,0,0.05,positive
Before Election,before_election,4,এদেশের গর্ব তুমি ভাই আরও এগিয়ে যাও! পাবনার দিকে,এদেশের গর্ব তুমি ভাই আরও এগিয়ে যাও পাবনার দিকে,"['এদেশের', 'গর্ব', 'ভাই', 'এগিয়ে', 'যাও', 'পাবনার']",এদেশের গর্ব ভাই এগিয়ে যাও পাবনার,47,6,0,0,0,0,0.0,neutral
Before Election,before_election,5,সাহসী নেতার সাহসী বাণী!,সাহসী নেতার সাহসী বাণী,"['সাহসী', 'নেতার', 'সাহসী', 'বাণী']",সাহসী নেতার সাহসী বাণী,23,4,0,0,0,0,0.0,neutral
Before Election,before_election,6,"""১২ তারিখের পর ওই এলাকার মানুষ ওকে খুঁজবে। আর ও কোথায় থাকবে, তা জানা নেই।",তারিখের পর ওই এলাকার মানুষ ওকে খুঁজবে আর ও কোথায় থাকবে তা জানা নেই,"['তারিখের', 'পর', 'এলাকার', 'মানুষ', 'ওকে', 'খুঁজবে', 'থাকবে', 'তা', 'জানা']",তারিখের পর এলাকার মানুষ ওকে খুঁজবে থাকবে তা জানা,73,9,0,0,0,0,0.0,neutral
Before Election,before_election,7,"তারুণ্যের প্রথম ভোটটি হোক অন্যায়, দুর্নীতি, চাদাবাজি, ঋণ খেলাপির বিরুদ্ধে। ন্যায় সততা ও ইনসাফ এর পক্ষে, শিক্ষিত মার্জিত! একজন ভালো ব্যক্তির পক্ষে!",তারুণ্যের প্রথম ভোটটি হোক অন্যায় দুর্নীতি চাদাবাজি ঋণ খেলাপির বিরুদ্ধে ন্যায় সততা ও ইনসাফ এর পক্ষে শিক্ষিত মার্জিত একজন ভালো ব্যক্তির পক্ষে,"['তারুণ্যের', 'প্রথম', 'ভোটটি', 'হোক', 'অন্যায়', 'দুর্নীতি', 'চাদাবাজি', 'ঋণ', 'খেলাপির', 'বিরুদ্ধে', 'ন্যায়', 'সততা', 'ইনসাফ', 'পক্ষে', 'শিক্ষিত', 'মার্জিত', 'ভালো', 'ব্যক্তির', 'পক্ষে']",তারুণ্যের প্রথম ভোটটি হোক অন্যায় দুর্নীতি চাদাবাজি ঋণ খেলাপির বিরুদ্ধে ন্যায় সততা ইনসাফ পক্ষে শিক্ষিত মার্জিত ভালো ব্যক্তির পক্ষে,146,19,0,0,1,2,-0.05263157894736842,negative
Before Election,before_election,8,,,[],,0,0,1,1,0,0,0.0,neutral
Before Election,before_election,9,নেতা এমনই হওয়া দরকার,নেতা এমনই হওয়া দরকার,"['নেতা', 'এমনই', 'হওয়া', 'দরকার']",নেতা এমনই হওয়া দরকার,20,4,0,0,0,0,0.0,neutral
